id,"desc",temperature,precipitation,koppen,analog_location,analog_lat,analog_lon,created_at
87,,"In Southern Mirkwood itself and Nan Anduin, mean annual temperatures are about 45–55°F; the southern Rhovanion plain shares similar means (45–55°F), while Dagorlad averages 50–60°F; winters on the plains are snow-blown and freezing, and since the 11th century T.A. winter snows have begun to linger in the forest around Dol Guldur.","Annual precipitation within Mirkwood and on the southern Rhovanion plain is about 20–40 inches, somewhat higher in Nan Anduin (25–45 inches) and lower on Dagorlad (15–35 inches); the Talath Harroch sees long dry spells punctuated by intense spring downpours called ‘fonwindar’, while the forest and river-vales receive more evenly distributed rain.",Dfb,"Polesie, Belarus/Ukraine border",52.1,27.5,2026-06-09T23:51:35.621Z
88,,"In the Highlands, winters are cold and wet with regular heavy snows from late autumn into early spring, while early summer brings warm days and pleasantly cool nights; the Plains and Gwathló basin see somewhat warmer winters with frequent melt‑offs and warm to hot, humid early summers that become more comfortable later in the season.[file:32]","Highland winters receive regular heavy snow, followed in spring by snowmelt‑driven flash floods and fog; summer has occasional gentle rains, while autumn brings massive thunderstorms and dense fogs that can turn to sleet or hail as temperatures drop; the Plains mirror this pattern but with less severe storms, and the Gwathló margins become marshy in spring due to combined rain and mountain runoff.[file:32]",Cfb-Dfb,"Powys, mid-Wales",52.33,-3.52,2026-06-09T23:51:35.622Z
89,,"The highlands of Rhudaur consist of large fells rising up to 1,500 feet above their bases; they are 'classic fells', young, jagged hills created by violent uplift, with little topsoil. Cold winds ('the cool winds and waters of this locale are legend') sweep the Pinefells/Coldfells, implying low winter temperatures with extensive snow cover and short, cool summers. The lowlands of the Angle, though somewhat more hospitable, still suffer constant northeast winds that strip topsoil; only sheltered riverbanks offer relatively fertile microclimates.[file:132]","The Ettendales are noted for poor drainage and many stagnant bogs, especially during spring melt, indicating heavy winter snowfall and significant spring runoff. The Mitheithel becomes a 'raging torrent' in spring as snows of the Ettenmoors and Ettendales melt, remaining swift and difficult to ford even in early fall. Constant rain cascading off the fells erodes topsoil in the Angle, suggesting frequent rainfall or drizzle in all but the coldest months.[file:132]",Cfb,"Białowieża Forest, Poland",52.7,23.86,2026-06-09T23:51:35.622Z
90,,"In the Highlands, winters are cold and wet with regular heavy snows from late autumn into early spring, while early summer brings warm days and pleasantly cool nights; the Plains and Gwathló basin see somewhat warmer winters with frequent melt‑offs and warm to hot, humid early summers that become more comfortable later in the season.[file:32]","Highland winters receive regular heavy snow, followed in spring by snowmelt‑driven flash floods and fog; summer has occasional gentle rains, while autumn brings massive thunderstorms and dense fogs that can turn to sleet or hail as temperatures drop; the Plains mirror this pattern but with less severe storms, and the Gwathló margins become marshy in spring due to combined rain and mountain runoff.[file:32]",Cfb,"Ceredigion, mid-Wales",52.22,-3.94,2026-06-09T23:51:35.622Z
91,,"Mean annual temperatures range between 35°F and 50°F. Winters are extremely cold, with average lows in Narwain (January) reaching down to -10°F, while average summer highs in Urui (July) reach 80°F. Rapid temperature drops of 3.6°F per 1,000 feet of altitude are common.","Average annual precipitation is 30–40 inches. Western slopes, facing the sea, receive substantial rainfall and snow, which feed cold glacial ice fields and snowfields that remain year-round on the taller northern peaks.",Dfc,"Voss, Norway",60.63,6.42,2026-06-09T23:51:35.623Z
92,,"South of the Grey Mountains, mean annual temperatures lie around 40–50°F, with colder conditions in the mountains (25–35°F) and even colder north of the range (15–25°F); winters bring snow to the Grey Mountains, while the forest interior has cold but survivable winters and warm summers.","Mean annual precipitation is roughly 20–40 inches south of the Grey Mountains, 20–40 inches in the mountains themselves, and 10–20 inches north of the range; rainfall and snow are spread across the year with heavier moisture in spring and early summer.",Dfb,"Lake Balaton north shore, Hungary",46.92,17.9,2026-06-09T23:51:35.623Z
93,,"The highlands of Rhudaur consist of large fells rising up to 1,500 feet above their bases; they are 'classic fells', young, jagged hills created by violent uplift, with little topsoil. Cold winds ('the cool winds and waters of this locale are legend') sweep the Pinefells/Coldfells, implying low winter temperatures with extensive snow cover and short, cool summers. The lowlands of the Angle, though somewhat more hospitable, still suffer constant northeast winds that strip topsoil; only sheltered riverbanks offer relatively fertile microclimates.[file:132]","The Ettendales are noted for poor drainage and many stagnant bogs, especially during spring melt, indicating heavy winter snowfall and significant spring runoff. The Mitheithel becomes a 'raging torrent' in spring as snows of the Ettenmoors and Ettendales melt, remaining swift and difficult to ford even in early fall. Constant rain cascading off the fells erodes topsoil in the Angle, suggesting frequent rainfall or drizzle in all but the coldest months.[file:132]",Cfb-cold,"North Pennines, England",54.8,-2.3,2026-06-09T23:51:35.623Z
94,,"Coastlands range roughly 35–50°F in midwinter (Narwain) up to 70–85°F in midsummer (Cerveth–Urui); inland vales are similar but slightly cooler in winter; mountain habitable zones (1,000–3,000 ft) run about 5–15°F cooler at all seasons, with snow common in winter.[file:73]","The coast and inland vales receive moderate to normal rain year-round, heaviest in autumn (Narbeleth) and throughout winter and spring (Hithui–Gwirith); summer months (Cerveth–Urui) are the driest with only moderate rain; mountains follow the same pattern but with heavier precipitation and snowfall in winter.[file:73]",Csa-Csb,"Abruzzo, Italy",42.35,13.5,2026-06-09T23:51:35.624Z
95,,"Springs and summers last less than four months; temperatures in the Narrows may briefly reach 75–90°F in high summer, while winter lows across the mountains and Northern Waste often drop to −25 to −50°F, with little or no daylight at midwinter in the far north.[file:38]","Precipitation is plentiful through most of the year, falling mainly as snow; rain occurs regularly only during the warmer months, with the Narrows receiving moderate to very heavy monthly precipitation in spring and summer and the Grey Mountains and Northern Waste receiving frequent snow, hail and sleet.[file:38]",Dfc,"Chelyabinsk Oblast, Ural, Russia",54.7,61.4,2026-06-09T23:51:35.624Z
96,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfb,"Clare, W Ireland",52.85,-9.0,2026-06-09T23:51:35.624Z
97,,"Coastlands range roughly 35–50°F in midwinter (Narwain) up to 70–85°F in midsummer (Cerveth–Urui); inland vales are similar but slightly cooler in winter; mountain habitable zones (1,000–3,000 ft) run about 5–15°F cooler at all seasons, with snow common in winter.[file:73]","The coast and inland vales receive moderate to normal rain year-round, heaviest in autumn (Narbeleth) and throughout winter and spring (Hithui–Gwirith); summer months (Cerveth–Urui) are the driest with only moderate rain; mountains follow the same pattern but with heavier precipitation and snowfall in winter.[file:73]",Csa,"Cilento, Campania, Italy",40.22,15.3,2026-06-09T23:51:35.625Z
98,,"Lowlands along the five rivers and the Anduin see warm to hot summers and cool but generally not severe winters, while the upland vales of the White Mountains are cooler year-round and can turn harsh in winter storms blowing down from the snow peaks.[file:30]","Moist winds from the Bay of Belfalas and uplift along the White Mountains bring regular rain and mountain runoff, feeding the five rivers and creating lush fields, marshy river mouths and the foggy, shifting channels of the Ethir Anduin; snow is common on the Ered Nimrais but only occasional and short-lived on the coastal plain.[file:30]",Csa,"Emilia-Romagna Adriatic coast, Italy",44.35,12.35,2026-06-09T23:51:35.625Z
99,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfb,"Galway Bay coast, Ireland",53.27,-9.05,2026-06-09T23:51:35.625Z
100,,"The highlands of Rhudaur consist of large fells rising up to 1,500 feet above their bases; they are 'classic fells', young, jagged hills created by violent uplift, with little topsoil. Cold winds ('the cool winds and waters of this locale are legend') sweep the Pinefells/Coldfells, implying low winter temperatures with extensive snow cover and short, cool summers. The lowlands of the Angle, though somewhat more hospitable, still suffer constant northeast winds that strip topsoil; only sheltered riverbanks offer relatively fertile microclimates.[file:132]","The Ettendales are noted for poor drainage and many stagnant bogs, especially during spring melt, indicating heavy winter snowfall and significant spring runoff. The Mitheithel becomes a 'raging torrent' in spring as snows of the Ettenmoors and Ettendales melt, remaining swift and difficult to ford even in early fall. Constant rain cascading off the fells erodes topsoil in the Angle, suggesting frequent rainfall or drizzle in all but the coldest months.[file:132]",Cfb,"North Yorkshire Moors, England",54.36,-0.8,2026-06-09T23:51:35.626Z
101,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Donegal, NW Ireland",54.65,-8.11,2026-06-09T23:51:35.626Z
102,,"Both Minhiriath and Mintyrnath share cool, wet springs, moderately hot summers, cool wet autumns and cold winters, with Mintyrnath running about five degrees cooler; strong daily swings are common, with differences of up to thirty‑five degrees between day and night, and a slow long‑term cooling trend makes late frosts and shortened growing seasons increasingly problematic.[file:31]","Warm, wet air from the western sea collides with cold, dry air from the Misty Mountains and Forochel to produce frequent rain and violent storms, especially in late spring and early summer, including severe thunderstorms, hail and tornadoes in central Cardolan, plus annual flooding along the Gwathló basin that both enriches fields and periodically turns Tharbad into an island.[file:31]",Cfb,"Morbihan, Brittany, France",47.65,-2.76,2026-06-09T23:51:35.627Z
103,,"Both Minhiriath and Mintyrnath share cool, wet springs, moderately hot summers, cool wet autumns and cold winters, with Mintyrnath running about five degrees cooler; strong daily swings are common, with differences of up to thirty‑five degrees between day and night, and a slow long‑term cooling trend makes late frosts and shortened growing seasons increasingly problematic.[file:31]","Warm, wet air from the western sea collides with cold, dry air from the Misty Mountains and Forochel to produce frequent rain and violent storms, especially in late spring and early summer, including severe thunderstorms, hail and tornadoes in central Cardolan, plus annual flooding along the Gwathló basin that both enriches fields and periodically turns Tharbad into an island.[file:31]",Cfb,"Poitou-Charentes, France",46.58,-0.34,2026-06-09T23:51:35.627Z
104,,"In Southern Mirkwood itself and Nan Anduin, mean annual temperatures are about 45–55°F; the southern Rhovanion plain shares similar means (45–55°F), while Dagorlad averages 50–60°F; winters on the plains are snow-blown and freezing, and since the 11th century T.A. winter snows have begun to linger in the forest around Dol Guldur.","Annual precipitation within Mirkwood and on the southern Rhovanion plain is about 20–40 inches, somewhat higher in Nan Anduin (25–45 inches) and lower on Dagorlad (15–35 inches); the Talath Harroch sees long dry spells punctuated by intense spring downpours called ‘fonwindar’, while the forest and river-vales receive more evenly distributed rain.",Dfb,"Bieszczady, Poland/Ukraine",49.2,22.5,2026-06-09T23:51:35.627Z
105,,"Temperature drops at approximately 3.6°F per 1,000 feet of altitude (up to 5.5°F when air moves rapidly upslope). High mountain vales are colder than exposed slopes at the same altitude because cold air sinks and pools there. The lower High Pass (c.3,500 ft) and upper mountain-path (over 5,000 ft) are frigid in winter and subject to sudden cold snaps in any season. The Anduin Vales at lower elevation are mild to warm in summer and cold in winter, with more extreme temperature ranges than the foothills due to rain-shadow dryness.[file:88]","Prevailing moist westerlies from the Great Sea collide with cold northerlies from the Ice Bay of Forochel along the western mountain flanks, producing alternating drizzles, cold driving rains, and heavy snowfall in winter. As air rises up the slopes it cools and condenses, generating the perpetual mist and cloud that names the range (Hithaeglir). The Anduin Vales are spared the worst of this, receiving drier conditions under the rain-shadow, supplemented by cool winds from the Ered Mithrin and channeled westerlies through the Gap of Rohan to the south. Both branches of the High Pass are normally blocked by snow from Hithui to Gwirith (late autumn to early spring).[file:88]",ET-mountain,"Jotunheimen, Norway",61.6,8.3,2026-06-09T23:51:35.628Z
106,,"Both Minhiriath and Mintyrnath share cool, wet springs, moderately hot summers, cool wet autumns and cold winters, with Mintyrnath running about five degrees cooler; strong daily swings are common, with differences of up to thirty‑five degrees between day and night, and a slow long‑term cooling trend makes late frosts and shortened growing seasons increasingly problematic.[file:31]","Warm, wet air from the western sea collides with cold, dry air from the Misty Mountains and Forochel to produce frequent rain and violent storms, especially in late spring and early summer, including severe thunderstorms, hail and tornadoes in central Cardolan, plus annual flooding along the Gwathló basin that both enriches fields and periodically turns Tharbad into an island.[file:31]",Cfb-coastal,"Cabo Fisterra, Galicia, Spain",42.88,-9.27,2026-06-09T23:51:35.628Z
107,,"The Highlands of Rhudaur, including the Ettenmoors and Pinefells, are described as high, jagged hills with little topsoil, snow-fed rivers and, in winter, heavy snows and a Fell Winter where White Wolves roam both sides of the Misty Mountains.[file:244] The rivers Mitheithel and Bruinen are born in snow and springs, with the Mitheithel freezing in the worst cold of winter while its current makes crossings dangerous.[file:244] Within the Vale itself the climate is milder: Rivendell is one of the few safe havens during severe winters and plagues in Eriador, implying that its depth and enchantments soften extremes compared to the exposed Highlands.[file:244]","Snows in the Ettenmoors and Ettendales feed the Mitheithel and other rivers, and spring thaws turn the Mitheithel into a raging torrent, while the Ettendales hold many springs and poorly drained bogs.[file:244] The Bruinen forks are fed by snows of the Misty Mountains and are described as 'far more sedate' than the Mitheithel, converging at the apex of the Angle and flowing past Rivendell.[file:244] This combination of snowmelt and regular rains over the year produces rich but localized wetlands (bogs in the Ettendales, riverbanks along Bruinen), while the Highlands and Lowlands beyond often suffer from wind erosion and poor soils where only hardy grasses and scrub persist.[file:244]",Cfb-mountain,"Engadine Valley, Switzerland",46.5,9.83,2026-06-09T23:51:35.631Z
108,,"Winter is a cool, moist time; deep winter grips the land for about eight weeks after Yule, but even then Rohirrim continue outdoor life, and the White Mountains are colder and more severe than the plains.","Eastern and northern Rohan, particularly the Wold, are very windy and rather dry, relying on infrequent but pleasant Anduin valley showers; the Westmarch is unprotected by the mountains and receives more rain than any other region in Rohan, frequently troubled by unpredictable storms turning inland from the Great Sea or striking up from the Cape of Andrast.",Dfb,"Hortobágy, Hungary",47.6,21.0,2026-06-09T23:51:35.631Z
109,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Erris, Mayo, W Ireland",54.13,-9.9,2026-06-09T23:51:35.631Z
110,,"Historically cool but not brutal, with fresh summers and cold winters moderated by sea winds from the Gulf of Lhûn; after the Great Plague winters lengthen and hold snow into late season while summers arrive suddenly and can scorch the land for weeks.[file:25]","The kingdom is well-watered by the Lhûn, Baranduin, and many streams, with regular rain and occasional snow in most regions, heavier snow and ice in the far north toward Forochel, and persistent mist and dampness in places like the Midgewater Marshes and the Barrow-downs.[file:25]",Cfb,"Cotswolds, Gloucestershire, England",51.83,-1.82,2026-06-09T23:51:35.632Z
111,,"Historically cool but not brutal, with fresh summers and cold winters moderated by sea winds from the Gulf of Lhûn; after the Great Plague winters lengthen and hold snow into late season while summers arrive suddenly and can scorch the land for weeks.[file:25]","The kingdom is well-watered by the Lhûn, Baranduin, and many streams, with regular rain and occasional snow in most regions, heavier snow and ice in the far north toward Forochel, and persistent mist and dampness in places like the Midgewater Marshes and the Barrow-downs.[file:25]",Cfb,"South Downs, Hampshire, England",51.0,-1.0,2026-06-09T23:51:35.632Z
112,,"Historically cool but not brutal, with fresh summers and cold winters moderated by sea winds from the Gulf of Lhûn; after the Great Plague winters lengthen and hold snow into late season while summers arrive suddenly and can scorch the land for weeks.[file:25]","The kingdom is well-watered by the Lhûn, Baranduin, and many streams, with regular rain and occasional snow in most regions, heavier snow and ice in the far north toward Forochel, and persistent mist and dampness in places like the Midgewater Marshes and the Barrow-downs.[file:25]",Cfb,"Cotswolds, Gloucestershire, England",51.83,-1.82,2026-06-09T23:51:35.633Z
113,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Lerwick, Shetland Islands, Scotland",60.15,-1.15,2026-06-09T23:51:35.633Z
114,,"Lowlands along the five rivers and the Anduin see warm to hot summers and cool but generally not severe winters, while the upland vales of the White Mountains are cooler year-round and can turn harsh in winter storms blowing down from the snow peaks.[file:30]","Moist winds from the Bay of Belfalas and uplift along the White Mountains bring regular rain and mountain runoff, feeding the five rivers and creating lush fields, marshy river mouths and the foggy, shifting channels of the Ethir Anduin; snow is common on the Ered Nimrais but only occasional and short-lived on the coastal plain.[file:30]",Csa,"Gargano Peninsula, Puglia, Italy",41.85,16.0,2026-06-09T23:51:35.633Z
115,,"The highlands of Rhudaur consist of large fells rising up to 1,500 feet above their bases; they are 'classic fells', young, jagged hills created by violent uplift, with little topsoil. Cold winds ('the cool winds and waters of this locale are legend') sweep the Pinefells/Coldfells, implying low winter temperatures with extensive snow cover and short, cool summers. The lowlands of the Angle, though somewhat more hospitable, still suffer constant northeast winds that strip topsoil; only sheltered riverbanks offer relatively fertile microclimates.[file:132]","The Ettendales are noted for poor drainage and many stagnant bogs, especially during spring melt, indicating heavy winter snowfall and significant spring runoff. The Mitheithel becomes a 'raging torrent' in spring as snows of the Ettenmoors and Ettendales melt, remaining swift and difficult to ford even in early fall. Constant rain cascading off the fells erodes topsoil in the Angle, suggesting frequent rainfall or drizzle in all but the coldest months.[file:132]",Cfb-Dfb,"NE Bohemia, Czech Republic",50.77,15.05,2026-06-09T23:51:35.633Z
116,,"The Traveller’s Guide climate table distinguishes three representative bands in western Eriador: (1) Duneriador-type inland zones with average lows around 0° in Ninui (late winter) and highs near 80° in Ivanneth (early autumn), mean 45–60°; (2) Ered Luin with winter lows down to -10° in Narwain and summer highs about 80° in Urui, mean 35–50°; and (3) the 'Elven Sea' coastal strip (Mithlond and nearby shore) with lows about 15° in Ninui and highs around 75° in Urui, mean 50–60°. These values place Lindon squarely in a maritime-temperate regime, with harsher winters restricted to the mountains.[file:99]","Annual precipitation in both Duneriador-like inland zones and the Ered Luin is about 30–40 inches, while the Elven Sea coastal band receives 40–60 inches due to moist sea air and orographic lift on the Blue Mountains. Rain is frequent year-round, with snow common in the Ered Luin during severe winters such as the Long Winter and Fell Winter mentioned in the realm’s history.[file:99]",Cfc,"Inishowen, Donegal, Ireland",55.24,-7.1,2026-06-09T23:51:35.634Z
117,,"Historically cool but not brutal, with fresh summers and cold winters moderated by sea winds from the Gulf of Lhûn; after the Great Plague winters lengthen and hold snow into late season while summers arrive suddenly and can scorch the land for weeks.[file:25]","The kingdom is well-watered by the Lhûn, Baranduin, and many streams, with regular rain and occasional snow in most regions, heavier snow and ice in the far north toward Forochel, and persistent mist and dampness in places like the Midgewater Marshes and the Barrow-downs.[file:25]",Cfb,"Peak District, Derbyshire, England",53.37,-1.8,2026-06-09T23:51:35.634Z
118,,"The highlands of Rhudaur consist of large fells rising up to 1,500 feet above their bases; they are 'classic fells', young, jagged hills created by violent uplift, with little topsoil. Cold winds ('the cool winds and waters of this locale are legend') sweep the Pinefells/Coldfells, implying low winter temperatures with extensive snow cover and short, cool summers. The lowlands of the Angle, though somewhat more hospitable, still suffer constant northeast winds that strip topsoil; only sheltered riverbanks offer relatively fertile microclimates.[file:132]","The Ettendales are noted for poor drainage and many stagnant bogs, especially during spring melt, indicating heavy winter snowfall and significant spring runoff. The Mitheithel becomes a 'raging torrent' in spring as snows of the Ettenmoors and Ettendales melt, remaining swift and difficult to ford even in early fall. Constant rain cascading off the fells erodes topsoil in the Angle, suggesting frequent rainfall or drizzle in all but the coldest months.[file:132]",Cfb-Dfb,"NE Bohemia, Czech Republic",50.77,15.05,2026-06-09T23:51:35.634Z
119,,"Winter is a cool, moist time; deep winter grips the land for about eight weeks after Yule, but even then Rohirrim continue outdoor life, and the White Mountains are colder and more severe than the plains.","Eastern and northern Rohan, particularly the Wold, are very windy and rather dry, relying on infrequent but pleasant Anduin valley showers; the Westmarch is unprotected by the mountains and receives more rain than any other region in Rohan, frequently troubled by unpredictable storms turning inland from the Great Sea or striking up from the Cape of Andrast.",Csa,"Costa Brava, Girona, Spain",41.98,3.21,2026-06-09T23:51:35.635Z
120,,"Temperature drops at approximately 3.6°F per 1,000 feet of altitude (up to 5.5°F when air moves rapidly upslope). High mountain vales are colder than exposed slopes at the same altitude because cold air sinks and pools there. The lower High Pass (c.3,500 ft) and upper mountain-path (over 5,000 ft) are frigid in winter and subject to sudden cold snaps in any season. The Anduin Vales at lower elevation are mild to warm in summer and cold in winter, with more extreme temperature ranges than the foothills due to rain-shadow dryness.[file:88]","Prevailing moist westerlies from the Great Sea collide with cold northerlies from the Ice Bay of Forochel along the western mountain flanks, producing alternating drizzles, cold driving rains, and heavy snowfall in winter. As air rises up the slopes it cools and condenses, generating the perpetual mist and cloud that names the range (Hithaeglir). The Anduin Vales are spared the worst of this, receiving drier conditions under the rain-shadow, supplemented by cool winds from the Ered Mithrin and channeled westerlies through the Gap of Rohan to the south. Both branches of the High Pass are normally blocked by snow from Hithui to Gwirith (late autumn to early spring).[file:88]",Cfb-cold,"Scottish Borders, Scotland",55.55,-2.8,2026-06-09T23:51:35.635Z
121,,"Winter is a cool, moist time; deep winter grips the land for about eight weeks after Yule, but even then Rohirrim continue outdoor life, and the White Mountains are colder and more severe than the plains.","Eastern and northern Rohan, particularly the Wold, are very windy and rather dry, relying on infrequent but pleasant Anduin valley showers; the Westmarch is unprotected by the mountains and receives more rain than any other region in Rohan, frequently troubled by unpredictable storms turning inland from the Great Sea or striking up from the Cape of Andrast.",BSk,"Dobruja, Romania/Bulgaria",44.2,28.6,2026-06-09T23:51:35.635Z
122,,"South of the Grey Mountains, mean annual temperatures lie around 40–50°F, with colder conditions in the mountains (25–35°F) and even colder north of the range (15–25°F); winters bring snow to the Grey Mountains, while the forest interior has cold but survivable winters and warm summers.","Mean annual precipitation is roughly 20–40 inches south of the Grey Mountains, 20–40 inches in the mountains themselves, and 10–20 inches north of the range; rainfall and snow are spread across the year with heavier moisture in spring and early summer.",Dfb,"Bieszczady Forest, Poland/Ukraine",49.2,22.5,2026-06-09T23:51:35.636Z
123,,"In Southern Mirkwood itself and Nan Anduin, mean annual temperatures are about 45–55°F; the southern Rhovanion plain shares similar means (45–55°F), while Dagorlad averages 50–60°F; winters on the plains are snow-blown and freezing, and since the 11th century T.A. winter snows have begun to linger in the forest around Dol Guldur.","Annual precipitation within Mirkwood and on the southern Rhovanion plain is about 20–40 inches, somewhat higher in Nan Anduin (25–45 inches) and lower on Dagorlad (15–35 inches); the Talath Harroch sees long dry spells punctuated by intense spring downpours called ‘fonwindar’, while the forest and river-vales receive more evenly distributed rain.",Dfb,"Beskydy, Moravia, Czech Republic",49.55,18.2,2026-06-09T23:51:35.636Z